run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,283.41926619132505,3549.673202614379,3,20.0,0.0,20.0,76800.0,10.832032163609103,-0.0,CRUISE
W6_vector_01,283.61942959001783,3553.676470588235,3,20.0,0.0,20.0,76800.0,10.836302316114548,-0.0,CRUISE
W6_vector_01,283.81959298871067,3557.679738562091,3,20.0,0.0,20.0,76800.0,10.840572468619996,-0.0,CRUISE
W6_vector_01,284.01975638740345,3561.6830065359477,3,20.0,0.0,20.0,76800.0,10.844842621125443,-0.0,CRUISE
W6_vector_01,284.2199197860963,3565.686274509804,3,20.0,0.0,20.0,76800.0,10.84911277363089,-0.0,CRUISE
W6_vector_01,284.42008318478906,3569.6895424836603,3,20.0,0.0,20.0,76800.0,10.853382926136335,-0.0,CRUISE
W6_vector_01,284.6202465834819,3573.6928104575163,3,20.0,0.0,20.0,76800.0,10.857653078641784,-0.0,CRUISE
W6_vector_01,284.8204099821747,3577.6960784313724,3,20.0,0.0,20.0,76800.0,10.86192323114723,-0.0,CRUISE
W6_vector_01,285.0205733808675,3581.699346405229,3,20.0,0.0,20.0,76800.0,10.866193383652677,-0.0,CRUISE
W6_vector_01,285.2207367795603,3585.702614379085,3,20.0,0.0,20.0,76800.0,10.870463536158123,-0.0,CRUISE
W6_vector_01,285.42090017825313,3589.7058823529414,3,20.0,0.0,20.0,76800.0,10.874733688663571,-0.0,CRUISE
W6_vector_01,285.62106357694597,3593.7091503267975,3,20.0,0.0,20.0,76800.0,10.87900384116902,-0.0,CRUISE
W6_vector_01,285.82122697563875,3597.7124183006536,3,20.0,0.0,20.0,76800.0,10.883273993674464,-0.0,CRUISE
W6_vector_01,286.02139037433153,3601.7156862745096,3,20.0,0.0,20.0,76800.0,10.887544146179911,-0.0,CRUISE
W6_vector_01,286.22155377302437,3605.718954248366,3,20.0,0.0,20.0,76800.0,10.89181429868536,-0.0,CRUISE
W6_vector_01,286.4217171717172,3609.722222222222,3,20.0,0.0,20.0,76800.0,10.896084451190806,-0.0,CRUISE
W6_vector_01,286.62188057041,3613.7254901960787,3,20.0,0.0,20.0,76800.0,10.900354603696252,-0.0,CRUISE
W6_vector_01,286.8220439691028,3617.7287581699347,3,20.0,0.0,20.0,76800.0,10.9046247562017,-0.0,CRUISE
W6_vector_01,287.0222073677956,3621.732026143791,3,20.0,0.0,20.0,76800.0,10.908894908707145,-0.0,CRUISE
W6_vector_01,287.22237076648844,3625.735294117647,3,20.0,0.0,20.0,76800.0,10.913165061212593,-0.0,CRUISE
W6_vector_01,287.4225341651812,3629.7385620915034,3,20.0,0.0,20.0,76800.0,10.91743521371804,-0.0,CRUISE
W6_vector_01,287.62269756387406,3633.7418300653594,3,20.0,0.0,20.0,76800.0,10.921705366223488,-0.0,CRUISE
W6_vector_01,287.82286096256684,3637.745098039216,3,20.0,0.0,20.0,76800.0,10.925975518728933,-0.0,CRUISE
W6_vector_01,288.0230243612597,3641.748366013072,3,20.0,0.0,20.0,76800.0,10.930245671234381,-0.0,CRUISE
W6_vector_01,288.22318775995245,3645.751633986928,3,20.0,0.0,20.0,76800.0,10.934515823739828,-0.0,CRUISE
W6_vector_01,288.4233511586453,3649.754901960784,3,20.0,0.0,20.0,76800.0,10.938785976245274,-0.0,CRUISE
W6_vector_01,288.6235145573381,3653.7581699346406,3,20.0,0.0,20.0,76800.0,10.943056128750722,-0.0,CRUISE
W6_vector_01,288.8236779560309,3657.7614379084966,3,20.0,0.0,20.0,76800.0,10.947326281256169,-0.0,CRUISE
W6_vector_01,289.0238413547237,3661.764705882353,3,20.0,0.0,20.0,76800.0,10.951596433761614,-0.0,CRUISE
W6_vector_01,289.2240047534165,3665.767973856209,3,20.0,0.0,20.0,76800.0,10.955866586267062,-0.0,CRUISE
W6_vector_01,289.42416815210936,3669.7712418300653,3,20.0,0.0,20.0,76800.0,10.96013673877251,-0.0,CRUISE
W6_vector_01,289.62433155080214,3673.7745098039213,3,20.0,0.0,20.0,76800.0,10.964406891277957,-0.0,CRUISE
W6_vector_01,289.824494949495,3677.777777777778,3,20.0,0.0,20.0,76800.0,10.968677043783403,-0.0,CRUISE
W6_vector_01,290.02465834818776,3681.781045751634,3,20.0,0.0,20.0,76800.0,10.97294719628885,-0.0,CRUISE
W6_vector_01,290.2248217468806,3685.7843137254904,3,20.0,0.0,20.0,76800.0,10.977217348794298,-0.0,CRUISE
